sector,sector_id,composite_score,avg_hit_rate,avg_sharpe,observations,trend_signal,momentum_20_ic,ma_cross_50_200_ic,adx_14_ic,cto_larsson_ic,rank
Data Centers & Infrastructure,data_centers,0.45424834145468707,0.5369787278740918,0.9495445964316204,13240,GREEN,0.1714825712759389,0.5575719111298021,0.1217183855593941,0.2888899432253204,1
Agriculture,agriculture,0.438662128051598,0.5416147134290719,1.0534032972317566,13240,GREEN,0.05299453476425586,0.3394613136951544,0.0020632778500602493,0.11979111326813063,2
Cybersecurity,cybersecurity,0.32986036531338603,0.5552100339920577,0.7132475306536614,12502,GREEN,0.050984852219997746,0.3183150299109971,0.08971285424244335,0.07924679721936072,3
Construction & Engineering,construction,0.2959845121066637,0.5785643842182937,0.5825500487012946,15888,GREEN,0.06243652138033698,0.3627891241292837,0.036585494177323756,0.05194159780144901,4
SaaS / Cloud Software,saas,0.21890590910852686,0.5470569026689818,0.392611669434809,15226,YELLOW,0.040029362189151776,0.4265859868663432,0.04495383901154616,0.09709004856101203,5
Crypto & Blockchain,crypto,0.21764918542264958,0.5539080393437528,0.39673517038964,13902,YELLOW,0.02863325148067563,0.32959789206612605,0.06671542646937695,0.10587688346980907,6
Communications & Telecom,communications,0.2142146157168601,0.5173527708730166,0.46534274906464046,11254,YELLOW,0.15258208050287864,0.030660810213233615,0.09076232568007024,0.19380039526582918,7
Semiconductors,semiconductors,0.18960896120946613,0.5458478205547539,0.35870072034698336,15888,YELLOW,0.04589548938762592,0.20728202809173843,0.053177130364420476,0.11141697221529659,8
Artificial Intelligence,ai,0.15664203754482642,0.5108266376020596,0.3383815328003905,15226,YELLOW,0.09481516571964413,0.0862341139031977,0.025764819136559612,0.15561468413721558,9
Nuclear Energy,nuclear,0.1421320049956586,0.5254448917601617,0.2865658502353598,12578,YELLOW,0.07687470925474497,0.17254029141514987,-0.035100928892315246,0.08930904087597023,10
Financial Services,financial,0.14145136695300808,0.4841415267937093,0.27522693411377386,15888,YELLOW,0.14807330228358934,0.21712781336235457,0.08977586406366765,0.16944615099852176,11
Healthcare (Non-Biotech),healthcare,0.010352129958697515,0.49551096155094837,0.05416829954557338,15226,RED,0.020749604816021346,0.06370352966105938,-0.11761035081882737,-0.03442394723336409,12
Minerals & Mining,minerals_mining,-0.05082601651481479,0.583909925265806,-0.23011801674206786,13902,YELLOW,-0.006982578233704022,-0.1601020494731281,-0.041418525131066614,-0.027275885042954272,13
Solar Energy,solar,-0.05667621212978642,0.5197856530317356,-0.14973899812179267,12578,YELLOW,-0.03243487316838994,-0.14796802950954543,0.05162508535160325,-0.05566737817310059,14
Energy (Oil & Gas),energy,-0.10865698682090537,0.5287888140342641,-0.2823063816917669,14564,YELLOW,-0.007509725016875626,-0.26324867405726776,-0.023551090720700118,-0.015668129054818684,15
Biotechnology,biotech,-0.11087520939965605,0.50046808123967,-0.2649462171979512,15888,RED,-0.04312675529886982,-0.08041676123877953,-0.06063214021068546,-0.02639442467080981,16
REITs,reits,-0.13264870778916238,0.4640060351112627,-0.22813599345902594,13902,RED,-0.12575153197546465,0.07891051521074785,-0.18625425813371516,-0.12353022390454989,17
Materials & Specialty Chemicals,materials,-0.17140703615721026,0.4591594813060739,-0.3686983777618533,15888,RED,-0.08344385874655771,-0.18056919145376682,0.13508191234790048,-0.07516363613850119,18
